"number","title","head_branch","base_branch","author","lp_label","state_label","created_at","updated_at","url"
314,"LP-2.0.5: Staging — acceptance checklist & orchestration","lp/2.0.5-staging-checklist","aoss-main","twgallo13","MISSING","MISSING","2025-12-21T07:50:37Z","2025-12-21T08:06:00Z","https://github.com/twgallo13/ROPI-V2.1/pull/314"
313,"LP-2.0.4: Repo — PR governance & branch protections","lp/2.0.4-pr-governance","aoss-main","twgallo13","MISSING","MISSING","2025-12-21T07:47:18Z","2025-12-21T08:02:37Z","https://github.com/twgallo13/ROPI-V2.1/pull/313"
312,"LP-2.0.3: Tasks — per-key updates and attribute provenance","lp/2.0.3-provenance","aoss-main","twgallo13","MISSING","MISSING","2025-12-21T07:45:10Z","2025-12-21T08:00:30Z","https://github.com/twgallo13/ROPI-V2.1/pull/312"
311,"LP-2.0.2: Sync — normalize data_type tokens & add definition_version","lp/2.0.2-registry-normalize","aoss-main","twgallo13","MISSING","MISSING","2025-12-21T07:41:02Z","2025-12-21T07:56:25Z","https://github.com/twgallo13/ROPI-V2.1/pull/311"
310,"LP-2.0.1: Firestore — restrict product writes to admin/server","lp/2.0.1-firestore-lockdown","aoss-main","twgallo13","MISSING","MISSING","2025-12-21T07:12:43Z","2025-12-21T07:43:43Z","https://github.com/twgallo13/ROPI-V2.1/pull/310"
309,"[LP-1.2.7] Add Scan & Capture CTA to Observations page","lisa/LP-1.2.7/merge-and-verify-observations","aoss-main","twgallo13","MISSING","MISSING","2025-12-21T06:16:41Z","2025-12-21T06:32:02Z","https://github.com/twgallo13/ROPI-V2.1/pull/309"
307,"LP-1.2.2: Diagnose/fix MPN 401 (auth header, logs, tests)","lisa/LP-1.2.2/mpn-401-fix","aoss-main","twgallo13","MISSING","MISSING","2025-12-20T04:46:32Z","2025-12-20T06:13:05Z","https://github.com/twgallo13/ROPI-V2.1/pull/307"
303,"LP-0.8.0: attribute samples / audit evidence","lisa/ops/audit-samples-LP-0.8.0","aoss-main","twgallo13","MISSING","MISSING","2025-12-20T01:43:38Z","2025-12-20T01:47:34Z","https://github.com/twgallo13/ROPI-V2.1/pull/303"
302,"LP-0.8.0: backup attributes before attribute fixes","lisa/ops/backup-LP-0.8.0","aoss-main","twgallo13","MISSING","MISSING","2025-12-20T01:42:48Z","2025-12-20T01:42:54Z","https://github.com/twgallo13/ROPI-V2.1/pull/302"
299,"LP-1.1.13: Full CRUD + fieldLink validation","lisa/LP-1.1.13/crud-fieldlink-validation","aoss-main","twgallo13","MISSING","MISSING","2025-12-20T00:55:29Z","2025-12-20T00:58:05Z","https://github.com/twgallo13/ROPI-V2.1/pull/299"
298,"LP-1.1.12: Make Observation Title optional","lisa/LP-1.1.12/title-optional","aoss-main","twgallo13","MISSING","MISSING","2025-12-20T00:52:35Z","2025-12-20T00:55:12Z","https://github.com/twgallo13/ROPI-V2.1/pull/298"
297,"LP-1.1.11: Unify ObservationsPanel with mobile capture flow","lisa/LP-1.1.11/unify-observations-panel","aoss-main","twgallo13","MISSING","MISSING","2025-12-20T00:45:33Z","2026-01-05T17:43:25Z","https://github.com/twgallo13/ROPI-V2.1/pull/297"
293,"[LP-1.1.7] CI: Fix e2e workflow YAML & E2E: lean admin login helper","lisa/LP-1.1.7/fix-e2e-yaml-and-lean-login","aoss-main","twgallo13","MISSING","MISSING","2025-12-19T20:08:38Z","2025-12-19T20:22:43Z","https://github.com/twgallo13/ROPI-V2.1/pull/293"
290,"[LP-1.1.5] Test: Fix API integration tests - emulator setup and vitest mock hoisting","lisa/LP-1.1.5/seed-test-batch","aoss-main","twgallo13","MISSING","MISSING","2025-12-19T19:45:27Z","2025-12-19T20:08:49Z","https://github.com/twgallo13/ROPI-V2.1/pull/290"
275,"[PVS-0.1.8] Generate unified attribute mapping CSV (imports → editor → PDP)","lisa/PVS-0.1.8/generate-attribute-csv","aoss-main","twgallo13","MISSING","MISSING","2025-12-18T09:26:01Z","2025-12-18T09:29:23Z","https://github.com/twgallo13/ROPI-V2.1/pull/275"
274,"[PVS-0.1.7] Apply staging normalization, verify API, merge PR #271","lisa/PVS-0.1.7/apply-normalize-staging","aoss-main","twgallo13","MISSING","MISSING","2025-12-18T09:00:37Z","2025-12-18T09:00:58Z","https://github.com/twgallo13/ROPI-V2.1/pull/274"
273,"[PVS-0.1.6] Normalize attributes — staging dry-run & detailed report","lisa/PVS-0.1.6/normalize-staging-dryrun","aoss-main","twgallo13","MISSING","MISSING","2025-12-18T08:44:02Z","2025-12-18T08:48:36Z","https://github.com/twgallo13/ROPI-V2.1/pull/273"
272,"[PVS-0.1.5] Verify attribute update merge, add API test, document normalize dry-run","lisa/PVS-0.1.5/verify-normalize-tests","aoss-main","twgallo13","MISSING","MISSING","2025-12-18T08:32:20Z","2025-12-18T08:32:31Z","https://github.com/twgallo13/ROPI-V2.1/pull/272"
270,"[PVS-0.1.3] Pilot: create lisa branches for nonconforming branches with PRs","lisa/PVS-0.1.3/execute-pr-branch-copies","aoss-main","twgallo13","MISSING","MISSING","2025-12-18T08:17:40Z","2025-12-18T08:22:04Z","https://github.com/twgallo13/ROPI-V2.1/pull/270"
269,"[PVS-0.1.2] Branch rename proposals & non-destructive plan","lisa/PVS-0.1.2/rename-proposals","aoss-main","twgallo13","MISSING","MISSING","2025-12-18T08:14:39Z","2025-12-18T08:20:19Z","https://github.com/twgallo13/ROPI-V2.1/pull/269"
268,"[PVS-0.1.1] Repo inventory & proposed cleanup plan","lisa/PVS-0.1.1/repo-inventory","aoss-main","twgallo13","MISSING","MISSING","2025-12-18T08:12:09Z","2025-12-18T08:16:50Z","https://github.com/twgallo13/ROPI-V2.1/pull/268"
267,"[PVS-0.1.0] Lisa governance: add PR template, docs, and PR metadata checks","lisa/PVS-0.1.0/setup-lisa-governance","aoss-main","twgallo13","MISSING","MISSING","2025-12-18T08:07:52Z","2025-12-18T08:11:23Z","https://github.com/twgallo13/ROPI-V2.1/pull/267"
262,"revert: revert regression commit 27f41da (user management regression)","revert/27f41da-20251211","aoss-main","twgallo13","MISSING","MISSING","2025-12-11T20:16:22Z","2025-12-11T20:50:36Z","https://github.com/twgallo13/ROPI-V2.1/pull/262"
256,"report(attribute-inspection): staging unknown attributes 2025-12-10","chore/attribute-inspection-20251210","aoss-main","twgallo13","MISSING","MISSING","2025-12-11T01:18:24Z","2025-12-11T02:57:49Z","https://github.com/twgallo13/ROPI-V2.1/pull/256"
243,"feat(auth): Admin auth debugging and E2E user setup tools","fix/admin-auth-debug","aoss-main","twgallo13","MISSING","MISSING","2025-12-09T23:30:00Z","2025-12-10T03:26:01Z","https://github.com/twgallo13/ROPI-V2.1/pull/243"
240,"fix(api): use req.params.listId in lists handlers","fix/lists-param-name","aoss-main","twgallo13","MISSING","MISSING","2025-12-09T13:34:42Z","2025-12-10T03:26:36Z","https://github.com/twgallo13/ROPI-V2.1/pull/240"
226,"ci: increase e2e timeout to 60min (temporary) — Lisa v0.2.0","chore/e2e-timeout-60-v2","aoss-main","twgallo13","MISSING","MISSING","2025-12-08T00:35:54Z","2025-12-08T00:38:51Z","https://github.com/twgallo13/ROPI-V2.1/pull/226"
223,"ci: increase e2e timeout to 60min (temporary) — Lisa v0.2.0","chore/e2e-timeout-60","aoss-main","twgallo13","MISSING","MISSING","2025-12-07T23:56:50Z","2025-12-08T00:10:43Z","https://github.com/twgallo13/ROPI-V2.1/pull/223"
220,"feat(admin): SmartRules & AITemplate persistence skeleton (Lisa v0.2.0-rc2)","feature/admin/settings-smartrules","aoss-main","twgallo13","MISSING","MISSING","2025-12-07T20:49:05Z","2025-12-07T20:52:01Z","https://github.com/twgallo13/ROPI-V2.1/pull/220"
